v АК,v ЦН,coef A
1.1241206030150752,0.32,-4.342557571747177e-05
1.1304522613065324,0.32,-4.342557571747177e-05
1.1367839195979899,0.32,-4.268954965926853e-05
1.143115577889447,0.32,-4.1217497542862055e-05
1.1494472361809043,0.32,-4.048147148465882e-05
1.1557788944723617,0.32,-3.974544542645558e-05
1.162110552763819,0.32,-3.974544542645558e-05
1.1684422110552761,0.32,-3.974544542645558e-05
1.1747738693467336,0.32,-3.974544542645558e-05
1.1811055276381908,0.32,-3.900941936825234e-05
1.187437185929648,0.32,-3.900941936825234e-05
1.1937688442211054,0.32,-3.8273393310049105e-05
1.2001005025125626,0.32,-3.680134119364262e-05
1.2064321608040198,0.32,-3.6065315135439385e-05
1.2127638190954773,0.32,-3.532928907723615e-05
1.2190954773869345,0.32,-3.459326301903292e-05
1.2254271356783917,0.32,-3.385723696082967e-05
1.231758793969849,0.32,-3.23851848444232e-05
1.2380904522613063,0.32,-3.23851848444232e-05
1.2444221105527635,0.32,-3.164915878621996e-05
1.250753768844221,0.32,-3.091313272801672e-05
1.2570854271356782,0.32,-3.091313272801672e-05
1.2634170854271354,0.32,-3.017710666981348e-05
1.2697487437185928,0.32,-2.870505455340701e-05
1.27608040201005,0.32,-2.870505455340701e-05
1.2824120603015072,0.32,-2.7969028495203768e-05
1.2887437185929647,0.32,-2.723300243700053e-05
1.2950753768844219,0.32,-2.576095032059406e-05
1.301407035175879,0.32,-2.4288898204187583e-05
1.3077386934673365,0.32,-2.2080820029577874e-05
1.3140703517587937,0.32,-2.1344793971374636e-05
1.3204020100502512,0.32,-2.1344793971374636e-05
1.3267336683417084,0.32,-2.1344793971374636e-05
1.3330653266331656,0.32,-2.0608767913171402e-05
1.339396984924623,0.32,-1.9872741854968164e-05
1.3457286432160802,0.32,-1.9136715796764927e-05
1.3520603015075374,0.32,-1.7664663680358455e-05
1.3583919597989949,0.32,-1.7664663680358455e-05
1.364723618090452,0.32,-1.7664663680358455e-05
1.3710552763819093,0.32,-1.7664663680358455e-05
1.3773869346733667,0.32,-1.7664663680358455e-05
1.383718592964824,0.32,-1.7664663680358455e-05
1.3900502512562811,0.32,-1.6928637622155217e-05
1.3963819095477386,0.32,-1.619261156395198e-05
1.4027135678391958,0.32,-1.619261156395198e-05
1.409045226130653,0.32,-1.619261156395198e-05
1.4153768844221104,0.32,-1.619261156395198e-05
1.4217085427135676,0.32,-1.619261156395198e-05
1.4280402010050248,0.32,-1.619261156395198e-05
1.4343718592964823,0.32,-1.619261156395198e-05
1.4407035175879395,0.32,-1.619261156395198e-05
1.4470351758793967,0.32,-1.619261156395198e-05
1.453366834170854,0.32,-1.619261156395198e-05
1.4596984924623113,0.32,-1.619261156395198e-05
1.4660301507537687,0.32,-1.619261156395198e-05
1.472361809045226,0.32,-1.619261156395198e-05
1.4786934673366832,0.32,-1.619261156395198e-05
1.4850251256281406,0.32,-1.619261156395198e-05
1.4913567839195978,0.32,-1.619261156395198e-05
1.497688442211055,0.32,-1.619261156395198e-05
1.5040201005025124,0.32,-1.619261156395198e-05
1.5103517587939697,0.32,-1.619261156395198e-05
1.5166834170854269,0.32,-1.619261156395198e-05
1.5230150753768843,0.32,-1.619261156395198e-05
1.5293467336683415,0.32,-1.619261156395198e-05
1.5356783919597987,0.32,-1.619261156395198e-05
1.5420100502512561,0.32,-1.619261156395198e-05
1.5483417085427134,0.32,-1.619261156395198e-05
1.5546733668341706,0.32,-1.619261156395198e-05
1.561005025125628,0.32,-1.619261156395198e-05
1.5673366834170852,0.32,-1.619261156395198e-05
1.5736683417085424,0.32,-1.619261156395198e-05
1.5799999999999998,0.32,-1.619261156395198e-05
0.32,0.32633165829145727,-6.93646997696061e-05
0.32633165829145727,0.32633165829145727,-6.93646997696061e-05
0.3326633165829146,0.32633165829145727,-6.93646997696061e-05
0.33899497487437186,0.32633165829145727,-6.93646997696061e-05
0.3453266331658291,0.32633165829145727,-6.93646997696061e-05
0.35165829145728644,0.32633165829145727,-6.93646997696061e-05
0.3579899497487437,0.32633165829145727,-6.93646997696061e-05
0.364321608040201,0.32633165829145727,-6.93646997696061e-05
0.3706532663316583,0.32633165829145727,-6.93646997696061e-05
0.37698492462311556,0.32633165829145727,-6.93646997696061e-05
0.3833165829145728,0.32633165829145727,-6.93646997696061e-05
0.38964824120603014,0.32633165829145727,-6.93646997696061e-05
0.3959798994974874,0.32633165829145727,-6.93646997696061e-05
0.40231155778894473,0.32633165829145727,-6.93646997696061e-05
0.408643216080402,0.32633165829145727,-6.93646997696061e-05
0.4149748743718593,0.32633165829145727,-6.93646997696061e-05
0.4213065326633166,0.32633165829145727,-6.93646997696061e-05
0.42763819095477384,0.32633165829145727,-6.93646997696061e-05
0.43396984924623117,0.32633165829145727,-6.93646997696061e-05
0.44030150753768843,0.32633165829145727,-6.93646997696061e-05
0.4466331658291457,0.32633165829145727,-6.93646997696061e-05
0.452964824120603,0.32633165829145727,-6.93646997696061e-05
