v AA,v TC,coef A
1.9425125628140703,1.58,-6.948188530892287e-05
1.9509547738693467,1.58,-6.967929555171728e-05
1.959396984924623,1.58,-6.967929555171728e-05
1.9678391959798993,1.58,-6.98767057945117e-05
1.9762814070351757,1.58,-6.98767057945117e-05
1.9847236180904522,1.58,-6.98767057945117e-05
1.9931658291457284,1.58,-6.979136453855419e-05
2.001608040201005,1.58,-6.979136453855419e-05
2.0100502512562812,1.58,-6.979136453855419e-05
2.0184924623115577,1.58,-6.921813896342669e-05
2.026934673366834,1.58,-6.864491338829919e-05
2.0353768844221105,1.58,-6.864491338829919e-05
2.043819095477387,1.58,-6.864491338829919e-05
2.052261306532663,1.58,-6.864491338829919e-05
2.06070351758794,1.58,-6.864491338829919e-05
2.0691457286432158,1.58,-6.864491338829919e-05
2.077587939698492,1.58,-6.864491338829919e-05
2.0860301507537686,1.58,-6.864491338829919e-05
2.094472361809045,1.58,-6.864491338829919e-05
2.1029145728643215,1.58,-6.864491338829919e-05
2.111356783919598,1.58,-6.864491338829919e-05
2.1197989949748743,1.58,-6.864491338829919e-05
2.1282412060301503,1.58,-6.864491338829919e-05
2.136683417085427,1.58,-6.864491338829919e-05
2.145125628140703,1.58,-6.798634655721418e-05
2.1535678391959796,1.58,-6.732777972612918e-05
2.162010050251256,1.58,-6.732777972612918e-05
2.1704522613065325,1.58,-6.732777972612918e-05
2.178894472361809,1.58,-6.732777972612918e-05
2.1873366834170853,1.58,-6.666921289504417e-05
2.1957788944723617,1.58,-6.552276174478917e-05
2.2042211055276377,1.58,-6.486419491370418e-05
2.2126633165829146,1.58,-6.486419491370418e-05
2.2211055276381906,1.58,-6.486419491370418e-05
2.229547738693467,1.58,-6.420562808261918e-05
2.2379899497487434,1.58,-6.354706125153418e-05
2.24643216080402,1.58,-6.354706125153418e-05
2.2548743718592963,1.58,-6.354706125153418e-05
2.2633165829145727,1.58,-6.354706125153418e-05
2.271758793969849,1.58,-6.354706125153418e-05
2.280201005025125,1.58,-6.288849442044917e-05
2.288643216080402,1.58,-6.288849442044917e-05
2.297085427135678,1.58,-6.288849442044917e-05
2.3055276381909544,1.58,-6.288849442044917e-05
2.313969849246231,1.58,-6.288849442044917e-05
2.3224120603015073,1.58,-6.288849442044917e-05
2.3308542713567837,1.58,-6.288849442044917e-05
2.33929648241206,1.58,-6.288849442044917e-05
2.3477386934673365,1.58,-6.288849442044917e-05
2.3561809045226125,1.58,-6.288849442044917e-05
2.3646231155778894,1.58,-6.288849442044917e-05
2.3730653266331654,1.58,-6.299622776118944e-05
2.3815075376884423,1.58,-6.299622776118944e-05
2.3899497487437182,1.58,-6.299622776118944e-05
2.3983919597989947,1.58,-6.302782064003803e-05
2.406834170854271,1.58,-6.31355539807783e-05
2.4152763819095475,1.58,-6.31355539807783e-05
2.423718592964824,1.58,-6.31355539807783e-05
2.4321608040201,1.58,-6.31355539807783e-05
2.440603015075377,1.58,-6.31355539807783e-05
2.449045226130653,1.58,-6.324328732151855e-05
2.4574874371859297,1.58,-6.335102066225882e-05
